Opened at,Open quote,Closed at,Close quote,Stop,Quantity,P/L,Return,Equity
2023-12-18T07:00:00,142.28,2023-12-18T07:30:00,142.28,,1,-0.003,-0.003%,136.802
2023-12-18T08:45:00,142.39,2023-12-18T09:00:00,142.38,,-1,0.006,0.006%,136.788
2023-12-18T09:15:00,142.25,2023-12-18T09:30:00,142.35,,-1,-0.076,-0.076%,136.692
2023-12-18T10:15:00,142.50,2023-12-20T19:00:00,143.82,,-1,-0.916,-0.924%,135.757
2023-12-21T06:00:00,142.96,2023-12-21T07:45:00,143.22,,-1,-0.184,-0.185%,135.544
2023-12-21T12:30:00,142.71,2023-12-22T21:45:00,142.48,,-1,0.157,0.157%,135.681
2023-12-25T22:30:00,142.25,2023-12-28T19:00:00,141.48,,-1,0.548,0.546%,136.209
2023-12-29T13:30:00,141.58,2023-12-29T21:45:00,141.03,,-1,0.386,0.384%,136.572
2024-01-02T00:00:00,141.11,2024-01-02T18:45:00,142.00,,-1,-0.623,-0.627%,135.927
2024-01-03T05:45:00,142.01,2024-01-03T06:00:00,142.12,,1,0.080,0.080%,135.983
2024-01-03T06:15:00,142.06,2024-01-03T06:30:00,142.05,,1,-0.006,-0.006%,135.958
2024-01-03T09:15:00,142.64,2024-01-05T15:00:00,143.92,Stop,1,0.892,0.900%,136.830
2024-01-05T15:15:00,144.07,2024-01-05T16:15:00,144.13,,1,0.036,0.036%,136.854
2024-01-08T12:45:00,144.57,2024-01-08T13:00:00,144.47,,1,-0.064,-0.064%,136.770
2024-01-09T00:00:00,144.22,2024-01-09T02:00:00,143.48,,-1,0.518,0.515%,137.268
2024-01-09T07:00:00,144.07,2024-01-09T07:45:00,144.03,,-1,0.024,0.024%,137.269
2024-01-09T08:00:00,144.06,2024-01-12T14:15:00,144.86,,-1,-0.547,-0.550%,136.702
2024-01-12T14:30:00,144.56,2024-01-12T21:45:00,144.89,,-1,-0.227,-0.228%,136.452
2024-01-14T22:30:00,144.88,2024-01-15T11:30:00,145.61,,-1,-0.503,-0.505%,135.928
2024-01-15T13:15:00,145.87,2024-01-15T17:00:00,145.76,,-1,0.074,0.074%,135.980
2024-01-15T17:15:00,145.73,2024-01-15T19:00:00,145.77,,-1,-0.032,-0.032%,135.928
